0.013540 1:1 4:2 8:3 14:5 
0.010425 1:1 4:2 8:4 13:4 
0.013637 1:1 4:2 8:4 15:3 
0.043684 1:1 4:2 8:0 13:7 
0.007472 1:1 4:2 8:1 15:6 
0.005816 1:1 4:2 8:2 13:1 
0.016792 1:1 4:2 8:1 15:2 
0.002781 1:1 4:2 8:1 13:5 
0.009640 1:1 4:2 8:5 13:3 
0.010470 1:1 4:2 8:1 14:3 
0.010809 1:1 4:2 8:6 13:1 
0.007077 1:1 4:2 8:3 15:4 
0.005933 1:1 4:2 8:5 13:2 
0.010970 1:1 4:2 8:3 14:3 
0.018988 1:1 4:2 8:4 13:3 
0.005988 1:1 4:2 8:3 15:3 
0.015446 1:1 4:2 8:0 15:6 
0.014970 1:1 4:2 8:1 15:3 
0.002201 1:1 4:2 8:1 13:2 
0.013284 1:1 4:2 8:4 14:1 
0.009791 1:1 4:2 8:0 14:6 
0.001642 1:1 4:2 8:0 14:7 
0.013590 1:1 4:2 8:0 14:4 
0.011549 1:1 4:2 8:5 14:3 
0.019653 1:1 4:2 8:0 14:3 
0.005550 1:1 4:2 8:2 15:6 
0.002343 1:1 4:2 8:1 13:3 
0.007780 1:1 4:2 8:6 15:1 
0.012480 1:1 4:2 8:2 14:4 
0.015644 1:1 4:2 8:0 15:1 
0.010646 1:1 4:2 8:2 14:2 
0.012524 1:1 4:2 8:1 15:4 
0.005642 1:1 4:2 8:5 15:2 
0.008691 1:1 4:2 8:0 14:5 
0.011636 1:1 4:2 8:1 14:1 
0.023695 1:1 4:2 8:0 15:5 
0.010819 1:1 4:2 8:4 15:1 
0.010085 1:1 4:2 8:7 14:1 
0.010636 1:1 4:2 8:1 14:2 
0.010031 1:1 4:2 8:3 14:2 
0.007889 1:1 4:2 8:5 14:2 
0.013971 1:1 4:2 8:4 15:2 
0.026859 1:1 4:2 8:0 15:2 
0.005250 1:1 4:2 8:2 13:3 
0.020581 1:1 4:2 8:0 13:5 
0.039124 1:1 4:2 8:0 15:3 
0.011599 1:1 4:2 8:2 14:3 
0.012408 1:1 4:2 8:3 14:4 
0.012491 1:1 4:2 8:7 15:1 
0.003656 1:1 4:2 8:7 13:3 
0.011326 1:1 4:2 8:5 15:3 
0.003693 1:1 4:2 8:7 13:2 
0.007639 1:1 4:2 8:1 14:4 
0.003772 1:1 4:2 8:3 13:1 
0.015053 1:1 4:2 8:1 15:1 
0.013842 1:1 4:2 8:0 14:1 
0.005510 1:1 4:2 8:1 15:8 
0.013757 1:1 4:2 8:0 13:1 
0.006635 1:1 4:2 8:2 15:2 
0.009394 1:1 4:2 8:6 15:2 
0.005011 1:1 4:2 8:0 13:2 
0.010693 1:1 4:2 8:4 13:1 
0.008041 1:1 4:2 8:3 14:1 
0.005860 1:1 4:2 8:5 13:1 
0.002924 1:1 4:2 8:1 13:1 
0.004382 1:1 4:2 8:2 13:5 
0.004651 1:1 4:2 8:1 13:6 
0.005431 1:1 4:2 8:5 14:1 
0.006149 1:1 4:2 8:2 14:1 
0.002890 1:1 4:2 8:1 13:4 
0.015553 1:1 4:2 8:0 14:2 
0.007721 1:1 4:2 8:7 13:1 
0.004788 1:1 4:2 8:2 15:1 
0.024076 1:1 4:2 8:4 14:4 
0.005586 1:1 4:2 8:2 15:3 
0.002577 1:1 4:2 8:6 14:3 
0.006718 1:1 4:2 8:3 15:2 
0.012735 1:1 4:2 8:0 15:8 
0.004337 1:1 4:2 8:3 15:1 
0.005578 1:1 4:2 8:0 13:4 
0.010775 1:1 4:2 8:6 13:2 
0.005054 1:1 4:2 8:0 13:3 
0.034789 1:1 4:2 8:0 15:4 
0.009618 1:1 4:2 8:1 15:5 
0.013058 1:1 4:2 8:4 13:2 
0.008054 1:1 4:2 8:6 13:5 
0.005954 1:1 4:2 8:6 14:2 
0.014604 1:1 4:2 8:4 14:3 
0.005907 1:1 4:2 8:5 15:1 
0.003757 1:1 4:2 8:3 13:2 
0.003409 1:1 4:2 8:3 13:5 
0.017810 1:1 4:2 8:4 14:2 
0.005110 1:1 4:2 8:2 15:4 
0.005408 1:1 4:2 8:2 13:2 
0.003845 1:1 4:2 8:2 13:4 
0.012047 1:1 4:2 8:0 15:7 
0.004722 1:1 4:2 8:3 13:3 
0.004796 1:1 4:2 8:2 15:5 
0.005669 1:1 4:2 8:6 14:1 
0.010020 1:1 4:2 8:1 14:5 
0.006358 1:1 4:2 8:3 13:4 
0.007054 1:1 4:2 8:2 14:5 
0.009056 1:3 6:6 10:0 15:1 
0.004510 1:3 6:6 10:0 12:1 
0.008815 1:3 6:6 10:0 13:1 
0.019118 2:3 7:2 11:2 13:1 
0.007393 2:3 7:2 11:3 13:1 
0.023438 2:3 7:2 11:2 13:2 
0.015072 2:3 7:2 11:1 12:1 
0.013411 2:3 7:2 11:2 13:3 
0.017285 2:3 7:2 11:2 14:1 
0.028244 2:3 7:2 11:1 14:1 
0.022302 2:3 7:2 11:0 12:1 
0.026435 2:3 7:2 11:0 13:2 
0.026091 2:3 7:2 11:1 14:4 
0.040881 2:3 7:2 11:1 13:1 
0.020209 2:3 7:2 11:0 12:2 
0.004391 2:3 7:2 11:4 13:1 
0.010989 2:3 7:2 11:6 14:1 
0.016069 2:3 7:2 11:4 12:2 
0.003181 2:3 7:2 11:6 12:1 
0.020159 2:3 7:2 11:3 14:2 
0.003810 2:3 7:2 11:1 13:5 
0.024872 2:3 7:2 11:3 14:1 
0.045103 2:3 7:2 11:3 12:2 
0.019017 2:3 7:2 11:0 13:4 
0.030935 2:3 7:2 11:3 12:3 
0.009747 2:3 7:2 11:7 14:1 
0.050887 2:3 7:2 11:0 13:1 
0.013807 2:3 7:2 11:3 13:5 
0.010073 2:3 7:2 11:0 12:5 
0.017610 2:3 7:2 11:0 14:1 
0.007890 2:3 7:2 11:5 14:1 
0.006495 2:3 7:2 11:2 13:4 
0.005299 2:3 7:2 11:3 13:3 
0.007221 2:3 7:2 11:0 12:6 
0.011460 2:3 7:2 11:2 12:3 
0.009793 2:3 7:2 11:1 12:4 
0.014996 2:3 7:2 11:0 12:4 
0.015908 2:3 7:2 11:2 12:1 
0.012712 2:3 7:2 11:0 14:3 
0.018184 2:3 7:2 11:2 14:2 
0.006040 2:3 7:2 11:2 12:4 
0.008536 2:3 7:2 11:0 14:4 
0.015895 2:3 7:2 11:5 13:1 
0.027287 2:3 7:2 11:1 14:2 
0.014326 2:3 7:2 11:1 12:2 
0.013699 2:3 7:2 11:2 12:2 
0.024348 2:3 7:2 11:0 13:3 
0.021949 2:3 7:2 11:1 14:3 
0.025094 2:3 7:2 11:1 13:2 
0.012979 2:3 7:2 11:1 13:4 
0.038668 2:3 7:2 11:3 12:1 
0.015892 2:3 7:2 11:4 14:1 
0.016233 2:3 7:2 11:1 13:3 
0.025129 2:3 7:2 11:0 13:5 
0.008891 2:3 7:2 11:3 13:2 
0.011151 2:3 7:2 11:2 14:3 
0.022503 2:3 7:2 11:0 12:3 
0.006562 2:3 7:2 11:0 14:5 
0.006061 2:3 7:2 11:0 12:7 
0.012638 2:3 7:2 11:1 12:3 
0.003205 2:3 7:2 11:3 14:3 
0.012206 2:3 7:2 11:4 12:1 
0.005563 2:3 7:2 11:1 12:5 
0.014577 2:3 7:2 11:4 14:2 
0.004115 2:3 7:2 11:6 13:1 
0.012228 2:3 7:2 11:0 14:2 
0.005966 2:3 7:2 11:5 12:1 
0.021333 2:7 7:2 11:1 14:1 
0.029384 2:7 7:2 11:0 12:1 
0.004874 2:4 4:3 8:0 14:4 
0.004525 2:4 4:3 8:2 15:3 
0.005178 2:4 4:3 8:0 14:1 
0.011319 2:4 4:3 8:0 15:1 
0.004795 2:4 4:3 8:0 15:2 
0.002386 2:4 4:3 8:3 15:1 
0.005528 2:4 4:3 8:0 15:4 
0.005069 2:4 4:3 8:1 14:2 
0.000757 2:4 4:3 8:1 13:3 
0.009036 2:4 4:3 8:1 15:2 
0.002959 2:4 4:3 8:1 15:3 
0.005142 2:4 4:3 8:0 15:3 
0.007951 2:4 4:3 8:0 13:2 
0.011287 2:4 4:3 8:0 14:3 
0.002262 2:4 4:3 8:2 15:1 
0.012649 2:4 4:3 8:1 15:4 
0.004085 2:4 4:3 8:0 15:5 
0.002053 2:4 4:3 8:4 15:1 
0.002922 2:4 4:3 8:1 14:1 
0.002182 2:4 4:3 8:2 15:2 
0.000671 2:4 4:3 8:3 14:1 
0.003464 2:4 4:3 8:1 13:1 
0.002126 2:4 4:3 8:2 13:1 
0.004973 2:4 4:3 8:1 15:1 
0.000457 2:4 4:3 8:3 13:1 
0.002627 2:4 4:3 8:2 13:2 
0.001678 2:4 4:3 8:3 13:2 
0.007379 2:4 4:3 8:0 14:2 
0.008235 2:4 4:3 8:0 13:1 
0.003058 2:4 4:3 8:1 13:2 
0.007575 2:4 4:3 8:0 13:3 
0.001760 2:4 4:3 8:2 14:2 
0.001607 2:4 4:3 8:2 14:1 
0.002513 2:4 4:3 8:1 14:3 
0.001041 2:4 4:3 8:4 14:1 
0.002250 2:4 4:3 8:3 15:2 
0.007102 2:1 7:6 11:3 13:2 
0.001565 2:1 7:6 11:0 14:4 
0.006421 2:1 7:6 11:1 12:4 
0.033638 2:1 7:6 11:0 13:1 
0.030378 2:1 7:6 11:0 13:2 
0.011991 2:1 7:6 11:0 14:2 
0.004188 2:1 7:6 11:1 14:2 
0.015152 2:1 7:6 11:2 13:3 
0.011636 2:1 7:6 11:0 12:3 
0.013310 2:1 7:6 11:1 12:1 
0.010700 2:1 7:6 11:0 14:1 
0.007425 2:1 7:6 11:2 12:1 
0.050867 2:1 7:6 11:0 13:3 
0.015132 2:1 7:6 11:0 14:3 
0.013595 2:1 7:6 11:2 14:2 
0.003643 2:1 7:6 11:1 12:7 
0.049914 2:1 7:6 11:0 13:4 
0.002675 2:1 7:6 11:3 14:1 
0.014865 2:1 7:6 11:0 12:1 
0.024482 2:1 7:6 11:1 13:1 
0.006984 2:1 7:6 11:1 14:1 
0.004329 2:1 7:6 11:2 14:1 
0.017464 2:1 7:6 11:0 12:2 
0.006107 2:1 7:6 11:3 13:1 
0.010007 2:1 7:6 11:2 13:2 
0.007821 2:1 7:6 11:2 13:1 
0.005569 2:1 7:6 11:1 12:2 
0.004766 2:1 7:6 11:2 12:2 
0.008873 2:1 7:6 11:1 13:2 
0.001942 2:1 7:6 11:1 14:3 
0.007646 2:1 7:6 11:1 13:3 
0.006070 2:1 7:6 11:3 12:1 
0.005371 2:1 7:6 11:0 12:4 
0.004559 2:1 7:6 11:0 12:5 
0.014277 2:1 7:6 11:1 12:3 
0.003774 3:1 4:4 8:4 15:4 
0.005085 3:1 4:4 8:1 15:5 
0.005900 3:1 4:4 8:2 13:5 
0.008118 3:1 4:4 8:1 15:3 
0.004360 3:1 4:4 8:2 15:3 
0.011566 3:1 4:4 8:0 13:2 
0.007972 3:1 4:4 8:4 13:1 
0.013448 3:1 4:4 8:0 15:3 
0.008149 3:1 4:4 8:2 14:3 
0.006455 3:1 4:4 8:4 15:2 
0.004750 3:1 4:4 8:1 13:2 
0.004646 3:1 4:4 8:1 13:4 
0.014201 3:1 4:4 8:0 14:2 
0.012447 3:1 4:4 8:0 13:1 
0.004586 3:1 4:4 8:2 15:2 
0.003641 3:1 4:4 8:3 13:4 
0.017677 3:1 4:4 8:3 15:4 
0.030340 3:1 4:4 8:2 15:5 
0.007824 3:1 4:4 8:1 14:2 
0.005413 3:1 4:4 8:3 14:2 
0.001802 3:1 4:4 8:3 15:2 
0.007194 3:1 4:4 8:1 14:4 
0.007990 3:1 4:4 8:4 14:1 
0.014807 3:1 4:4 8:0 14:4 
0.017095 3:1 4:4 8:0 13:4 
0.002409 3:1 4:4 8:3 15:1 
0.003127 3:1 4:4 8:1 13:3 
0.006571 3:1 4:4 8:1 13:1 
0.010193 3:1 4:4 8:0 14:1 
0.004593 3:1 4:4 8:2 14:4 
0.006418 3:1 4:4 8:2 14:2 
0.008946 3:1 4:4 8:0 15:1 
0.013043 3:1 4:4 8:0 15:4 
0.017012 3:1 4:4 8:0 13:3 
0.001350 3:1 4:4 8:5 14:1 
0.003599 3:1 4:4 8:2 14:1 
0.007661 3:1 4:4 8:1 14:3 
0.018485 3:1 4:4 8:0 14:3 
0.003587 3:1 4:4 8:3 14:1 
0.013064 3:1 4:4 8:4 13:2 
0.003536 3:1 4:4 8:2 15:1 
0.003269 3:1 4:4 8:3 13:2 
0.009795 3:1 4:4 8:1 15:4 
0.004914 3:1 4:4 8:1 14:1 
0.004169 3:1 4:4 8:4 15:1 
0.009101 3:1 4:4 8:0 15:5 
0.008571 3:1 4:4 8:0 14:5 
0.003931 3:1 4:4 8:3 13:3 
0.007290 3:1 4:4 8:0 15:7 
0.007059 3:1 4:4 8:1 15:1 
0.002458 3:1 4:4 8:2 13:4 
0.002761 3:1 4:4 8:2 13:2 
0.004017 3:1 4:4 8:3 13:1 
0.004612 3:1 4:4 8:3 14:4 
0.036922 3:1 4:4 8:0 13:5 
0.009999 3:1 4:4 8:0 15:2 
0.002670 3:1 4:4 8:2 13:3 
0.002796 3:1 4:4 8:0 15:6 
